Organisation,URL,Tech Stacks
FreeType,https://summerofcode.withgoogle.com/archive/2020/organizations/5205992846917632/,"['c', 'gnu make', 'gnu autotools', 'python', 'fonts']"

FRRouting,https://summerofcode.withgoogle.com/archive/2020/organizations/5039063742021632/,"['c', 'linux', 'linux kernel', 'networking', 'lua']"

Git,https://summerofcode.withgoogle.com/archive/2020/organizations/5445576591671296/,"['c', 'shell script', 'git']"

GNOME,https://summerofcode.withgoogle.com/archive/2020/organizations/4988908019908608/,"['c', 'rust', 'gtk', 'vala', 'python']"

GPAC,https://summerofcode.withgoogle.com/archive/2020/organizations/6028158437949440/,"['c', 'javascript', 'opengl']"

KDE Community,https://summerofcode.withgoogle.com/archive/2020/organizations/4992468447133696/,"['c++', 'qt', 'c', 'opencv']"

libvirt,https://summerofcode.withgoogle.com/archive/2020/organizations/5067783886340096/,"['kvm', 'xen', 'hypervisor', 'c', 'python']"

MacPorts,https://summerofcode.withgoogle.com/archive/2020/organizations/4588406077652992/,"['tcl', 'c', 'python', 'scripting', 'buildbot']"

Metasploit,https://summerofcode.withgoogle.com/archive/2020/organizations/4999193090850816/,"['ruby', 'postgresql', 'python', 'c', 'assembly']"

Neovim,https://summerofcode.withgoogle.com/archive/2020/organizations/6636241820319744/,"['c', 'lua', 'rpc']"

Performance Co-Pilot,https://summerofcode.withgoogle.com/archive/2020/organizations/5233572744527872/,"['c', 'redis', 'grafana', 'rest', 'libuv']"

Pitivi,https://summerofcode.withgoogle.com/archive/2020/organizations/6385935689711616/,"['gtk', 'gstreamer', 'c', 'python 3']"

PostgreSQL,https://summerofcode.withgoogle.com/archive/2020/organizations/6566134096068608/,"['postgresql', 'postgres', 'sql', 'c', 'perl']"

QEMU,https://summerofcode.withgoogle.com/archive/2020/organizations/6231608723505152/,"['linux', 'kvm', 'c', 'virtualization', 'rust']"

Qubes OS,https://summerofcode.withgoogle.com/archive/2020/organizations/4924517870206976/,"['c', 'python', 'xen', 'shell', 'linux']"

R Project for Statistical Computing,https://summerofcode.withgoogle.com/archive/2020/organizations/4761521042751488/,"['r-project', 'c', 'c++', 'fortran', 'javascript']"

Radare,https://summerofcode.withgoogle.com/archive/2020/organizations/6102444192301056/,"['c', 'c++', 'python', 'go', 'qt']"

ReactOS,https://summerofcode.withgoogle.com/archive/2020/organizations/5352970822090752/,"['c', 'c++', 'win32', 'nt']"

Samba,https://summerofcode.withgoogle.com/archive/2020/organizations/5671203068444672/,"['smb', 'cifs', 'c', 'python']"

strace,https://summerofcode.withgoogle.com/archive/2020/organizations/5627435304878080/,"['linux', 'c', 'shell', 'make', 'awk']"

Sugar Labs,https://summerofcode.withgoogle.com/archive/2020/organizations/6305701137219584/,"['python', 'javascript', 'gtk', 'pygame', 'c']"

syslog-ng,https://summerofcode.withgoogle.com/archive/2020/organizations/6013743185526784/,"['elasticsearch', 'kafka', 'sql', 'python', 'c']"

The Libreswan Project,https://summerofcode.withgoogle.com/archive/2020/organizations/5398756750524416/,"['c', 'python']"

The Linux Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/5415607517839360/,"['c', 'c++', 'cups', 'ipp']"

The NetBSD Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6156737276542976/,"['c', 'bsd make']"

The Wine Project,https://summerofcode.withgoogle.com/archive/2020/organizations/6331124088832000/,"['c', 'opengl', 'directx', 'win32', 'vulkan']"

VideoLAN,https://summerofcode.withgoogle.com/archive/2020/organizations/6444776540340224/,"['c++', 'asm', 'c', 'go', 'c#']"

AerospaceResearch.net,https://summerofcode.withgoogle.com/archive/2020/organizations/5720999993016320/,"['python', 'vhdl', 'raspberry pi', 'sqlite', 'c++']"

Apertium,https://summerofcode.withgoogle.com/archive/2020/organizations/6269334810263552/,"['c++', 'bash', 'python', 'xml']"

Boost C++,https://summerofcode.withgoogle.com/archive/2020/organizations/6585514028695552/,"['c++17', 'c++11', 'c++']"

CGAL Project,https://summerofcode.withgoogle.com/archive/2020/organizations/6008526545092608/,"['c++', 'git', 'qt']"

Free and Open Source Silicon Foundation,https://summerofcode.withgoogle.com/archive/2020/organizations/6376070820921344/,"['verilog', 'risc-v', 'python', 'c++']"

GeomScale,https://summerofcode.withgoogle.com/archive/2020/organizations/4606415412396032/,"['c++', 'r', 'python']"

GNSS-SDR,https://summerofcode.withgoogle.com/archive/2020/organizations/5600351610208256/,"['c++', 'gnss']"

